"id","itemnr","name","category","description","price1","price2","price3","price4","price5","block1","block2","block3","block4","block5","vat","options","weight","unit","date_added","picturename","quantity","webshopid","qunit"
0,"01","Ams - 48' C/F","Ceiling Fan","Model 48' C/F",875.000000,875.000000,875.000000,875.000000,875.000000,"1","10","100","1000","10000",0.00,"",0.00,-1,"","",3.00,-1"",
2,"1","Airtel ","Cable Recharge","Model - 130 ,131,185",600.000000,600.000000,600.000000,600.000000,600.000000,"1","10","100","1000","10000",0.00,"",0.00,-1,"2015-06-28 17:30:33","",1.00,0"",
4,"","Ams - 16' T/F","Table Fan","Model - 16' T/F",1025.000000,1127.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
5,"","Ams - W/F","Wall Fan","Model - 12' W/F",950.000000,1045.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
6,"","Aqua Sure - Aayush","Water Filter","Model - Aayush  ",2324.000000,2614.500000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
7,"","Aqua Sure - Amrit","Water Filter","Model - Amrit  20 Ltr ",2231.000000,2509.880000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
8,"","Aqua Sure - Shakti","Water Filter","Model - Shakti",1430.000000,1608.750000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
9,"","Bajaj - 16' P/Q","Stand Fan","Model - Farrata ",2810.000000,3091.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
10,"","Bajaj - 48'  C/F","Ceiling Fan","Model - Bahar",1140.000000,1300.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
11,"","Bajaj - Iron","Iron","Model - Popular ",370.000000,370.000000,370.000000,370.000000,370.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",4.00,0"",
12,"","Bajaj - Mixer","Mixer Grinder Toster","Model  - 413130R",2050.000000,2255.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
13,"","Bajaj - Toster - PX34T","Mixer Grinder Toster","Model PX34T",1450.000000,1550.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
14,"","Bajaj - Water Heater","Heater","1 Litre",3200.000000,3200.000000,3200.000000,3200.000000,3200.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",2.00,0"",
15,"","Bestech   - Tawa","Tawa","",742.000000,800.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
16,"","Bluestar - AC ","Air Conditioner","Model - 5HW185A1 , 1.5 Ton",35770.000000,35770.000000,35770.000000,35770.000000,35770.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",1.00,0"",
17,"","Butterfly - Cooking Set - KCPB","Pan ","Model - KCPB",1271.000000,1350.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
18,"","Carrier - AC - 2 Ton ","Air Conditioner","Model - 24k",41700.000000,41700.000000,41700.000000,41700.000000,41700.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",1.00,0"",
19,"","Cinni - 16'  T/F","Table Fan","m - Slabadi",1760.000000,2015.200000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
20,"","Crompton - 16'  P/Q Farrata","Stand Fan","Model - Farrata ",2850.000000,3050.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
21,"","Crompton - 48' C/F - Seawind ","Ceiling Fan","Model- Seawind",1280.000000,1450.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
22,"","Crompton - 9' F/A 12","High Speed Fan","Model - 9' F/Air ",1120.000000,1240.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
23,"","Crompton -Electric Kettle","Kettle","Model - KS- 81",1375.000000,1512.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
24,"","Crompton - Water Heater ","Heater","Model - SWH606",4900.000000,5390.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
25,"","Crompton 16' T/F - Rivera","Table Fan","Model - Rivera",2130.000000,2350.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
26,"","F and D","Speaker ","Model - JP2",0.000000,0.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
27,"","Glen - Rice Cooker","Mixer Grinder Toster","Model - 3056",2005.000000,2210.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
28,"","Godrej - 190 Litre Model - 190PQS6","Refregerator","Model - 190PQS6",15200.000000,16720.000000,0.000000,0.000000,0.000000,"0","0","0","0","0",0.00,"",0.00,-1,"2015-06-28 17:30:33","",0.00,0"",
