id,itemnr,name,category,description,Cost Price,Price,quantity,,,,,,,,,,,,
0,1,Ams - 48' C/F,Ceiling Fan,Model 48' C/F,875,875,3,,,,,,,,,,,,
2,1,Airtel ,Cable Recharge,"Model - 130 ,131,185",600,600,1,,,,,,,,,,,,
4,,Ams - 16' T/F,Table Fan,Model - 16' T/F,1025,1127,0,,,,,,,,,,,,
5,,Ams - W/F,Wall Fan,Model - 12' W/F,950,1045,0,,,,,,,,,,,,
6,,Aqua Sure - Aayush,Water Filter,Model - Aayush  ,2324,2614.5,0,,,,,,,,,,,,
7,,Aqua Sure - Amrit,Water Filter,Model - Amrit  20 Ltr ,2231,2509.88,0,,,,,,,,,,,,
8,,Aqua Sure - Shakti,Water Filter,Model - Shakti,1430,1608.75,0,,,,,,,,,,,,
9,,Bajaj - 16' P/Q,Stand Fan,Model - Farrata ,2810,3091,0,,,,,,,,,,,,
10,,Bajaj - 48'  C/F,Ceiling Fan,Model - Bahar,1140,1300,0,,,,,,,,,,,,
11,,Bajaj - Iron,Iron,Model - Popular ,370,370,4,,,,,,,,,,,,
12,,Bajaj - Mixer,Mixer Grinder Toster,Model  - 413130R,2050,2255,0,,,,,,,,,,,,
13,,Bajaj - Toster - PX34T,Mixer Grinder Toster,Model PX34T,1450,1550,0,,,,,,,,,,,,
14,,Bajaj - Water Heater,Heater,1 Litre,3200,3200,2,,,,,,,,,,,,
15,,Bestech   - Tawa,Tawa,,742,800,0,,,,,,,,,,,,
16,,Bluestar - AC ,Air Conditioner,"Model - 5HW185A1 , 1.5 Ton",35770,35770,1,,,,,,,,,,,,
17,,Butterfly - Cooking Set - KCPB,Pan ,Model - KCPB,1271,1350,0,,,,,,,,,,,,
18,,Carrier - AC - 2 Ton ,Air Conditioner,Model - 24k,41700,41700,1,,,,,,,,,,,,
19,,Cinni - 16'  T/F,Table Fan,m - Slabadi,1760,2015.2,0,,,,,,,,,,,,
20,,Crompton - 16'  P/Q Farrata,Stand Fan,Model - Farrata ,2850,3050,0,,,,,,,,,,,,
21,,Crompton - 48' C/F - Seawind ,Ceiling Fan,Model- Seawind,1280,1450,0,,,,,,,,,,,,
22,,Crompton - 9' F/A 12,High Speed Fan,Model - 9' F/Air ,1120,1240,0,,,,,,,,,,,,
23,,Crompton -Electric Kettle,Kettle,Model - KS- 81,1375,1512,0,,,,,,,,,,,,
24,,Crompton - Water Heater ,Heater,Model - SWH606,4900,5390,0,,,,,,,,,,,,
25,,Crompton 16' T/F - Rivera,Table Fan,Model - Rivera,2130,2350,0,,,,,,,,,,,,
26,,F and D,Speaker ,Model - JP2,0,0,0,,,,,,,,,,,,
27,,Glen - Rice Cooker,Mixer Grinder Toster,Model - 3056,2005,2210,0,,,,,,,,,,,,
28,,Godrej - 190 Litre Model - 190PQS6,Refregerator,Model - 190PQS6,15200,16720,0,,,,,,,,,,,,
29,,Godrej - AC,Air Conditioner,"Model - 12FWB , 1Ton",26000,26000,1,,,,,,,,,,,,
30,3,Godrej - W/M,Washing Machine,Model - 6502PP2,9800,9800,1,,,,,,,,,,,,
31,,Green Chit - Mixer,Mixer Grinder Toster,Model - Mars,1385,1470,0,,,,,,,,,,,,
32,,Havells - 48' C/F - Paeer,Ceiling Fan,Model - Pacer,1640,1640,0,,,,,,,,,,,,
33,,HITACHI - AC,Air Conditioner,"Model - 12HVDD12FW3 , 1 Ton ",29500,29500,1,,,,,,,,,,,,
34,,iBall - Home Theater - 2.1,Home Theater,Model - 2.1,1250,1375,0,,,,,,,,,,,,
35,,IFB - AC,Air Conditioner,"Model - AC518KA3TC , 1.5 Ton ",29310,29310,1,,,,,,,,,,,,
36,,IFB - Microwave,Default Category,Model - 17PG35,5691,6260,0,,,,,,,,,,,,
37,,Intex - Home Theater - 2.1,Home Theater,Model - 1875,1575,1732,0,,,,,,,,,,,,
38,,Jaipan - Induction,Induction Cooker,Model - JIC - 8006,1675,1842,0,,,,,,,,,,,,
39,,Jaipan - Iron,Iron,Model - JPL - 603,800,880,0,,,,,,,,,,,,
40,,Kelvenator - 190 Litre,Refregerator,Model - K5L2055CKA,13328,14660.8,0,,,,,,,,,,,,
41,,Kensler - Mixer,Mixer Grinder Toster,Model - Prince,2336,2680,0,,,,,,,,,,,,
42,,Kensler - Iron ,Iron,Model - Smart,530,596.25,0,,,,,,,,,,,,
43,,Khaitan - 16' P/Q,Stand Fan,Model - Farrata ,2800,3010,0,,,,,,,,,,,,
44,,Khaitan - 9 '  - Adjust Fan,Stand Fan,Model - Euro ,950,1050,0,,,,,,,,,,,,
45,,LG - LED- 28' ,Television ,Model - 28LN4140,19500,19500,0,,,,,,,,,,,,
46,,LG - Microwave Grill,Oven,Model - MH2042QW,7200,7200,1,,,,,,,,,,,,
